# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.380253949933898,3.4179419298780003,-0.002815872357664,0,3.0,-0.008760111028046212,0.0,0.0,0.0
 0.08879335007421635,6.392080338445719,3.417941348655425,-0.002815872357664,0.26638005022264905,3.0,-0.008760111028046212,0.0,-0.16311784763296666,0.0
 0.12465133049894991,6.403560881081067,3.4179396124312666,-0.00866494894501159,0.3739539914968497,2.999999999999999,-0.009495075411595243,0.0,-0.22885708286307074,0.0
 0.15153370158447313,6.414697643489764,3.4179367323708743,-0.014817169972086994,0.4546011047534193,2.999999999999998,-0.010314809513818472,0.0,-0.2928480609062868,0.0
 0.17366393341069916,6.425492691321634,3.4179327196396,-0.021297965449803884,0.5209918002320973,2.9999999999999973,-0.011231872457714733,0.0,-0.35938863314013736,0.0
 0.1926899803950924,6.435948090226501,3.4179275854027926,-0.028135710469584994,0.578069941185277,2.9999999999999987,-0.012261127076122579,0.0,-0.43084462008262747,0.0
 0.2094627419084598,6.446065905854191,3.417921340825803,-0.035362164531548286,0.6283882257253792,3.0000000000000018,-0.013420234513701048,0.0,-0.509098735804392,0.0
 0.2244909220563911,6.455848203854524,3.417913997073982,-0.04301299204630078,0.6734727661691732,3.0000000000000018,-0.014730295964587472,0.0,-0.5959726028916581,0.0
 0.23810797398585576,6.465297049877327,3.41790556531268,-0.051128381928414714,0.7143239219575672,3.000000000000004,-0.01621665425766859,0.0,-0.69342412867069,0.0
 0.25054683602982486,6.474414509572423,3.4178960567072467,-0.059753789002908904,0.7516405080894746,3.0000000000000044,-0.017909923680865886,0.0,-0.8036823467858304,0.0
 0.2619780155480896,6.483202648589637,3.4178854824230323,-0.06894082618467802,0.7859340466442688,3.000000000000005,-0.019847309173201953,0.0,-0.9293710957038701,0.0
 0.27253087033256856,6.49166353257879,3.417873853625388,-0.07874834439853308,0.8175926109977059,3.0000000000000107,-0.02207432713973347,0.0,-1.0377146067860232,0.0
 0.28264482998692375,6.499799227189708,3.417861181479664,-0.08924374806430196,0.7912143761780054,-2.608101645762617,-0.024647045540692376,0.0,-1.1186725697265794,0.0
 0.29271110005423,6.507611798072216,3.41784747715121,-0.10050460826805721,0.7610155659760867,-2.9999999999999947,-0.027635048342142754,0.0,-1.2064268570751764,0.0
 0.30275401894782183,6.515103310876136,3.4178327518053777,-0.1126206553447141,0.7308868092953112,-2.9999999999999947,-0.03112538605492597,0.0,-1.3050150918901002,0.0
 0.31277352297141897,6.522275831251294,3.4178170166075152,-0.12569625930876194,0.7008282972245199,-2.9999999999999947,-0.03522790717823954,0.0,-1.4162918643462645,0.0
 0.3227695444133027,6.52913142484751,3.4178002827229754,-0.13985354315273268,0.6708402328988687,-3.0,-0.04008252993326163,0.0,-1.5425254507377397,0.0
 0.3327420106899963,6.535672157314613,3.417782561317107,-0.1552363261911564,0.6409228340687879,-2.9999999999999942,-0.04586927799968276,0.0,-1.6865135459318665,0.0
 0.3426908432487852,6.541900094302422,3.4177638635552605,-0.17201516706776182,0.6110763363924212,-3.000000000000011,-0.05282234354532311,0.0,-1.8517386483428486,0.0
 0.3526159561458133,6.547817301460764,3.417744200602787,-0.19039388220835488,0.5813009977013368,-3.0,-0.061250066733554064,0.0,-2.042579312969141,0.0
 0.36251725418155495,6.553425844439461,3.417723583625037,-0.21061806874770272,0.5515971035941118,-3.0000000000000058,-0.07156379208997535,0.0,-2.2646015213200763,0.0
 0.3723946304237935,6.558727788888341,3.41770202378736,-0.23298639001252694,0.5219649748673961,-3.0000000000000058,-0.08432029626110263,0.0,-2.5249668644866206,0.0
 0.38224796286904367,6.563725200457223,3.4176795322551063,-0.25786572794155455,0.4924049775316456,-3.0000000000000058,-0.10028540100064291,0.0,-2.8330142763128894,0.0
 0.3920771098705551,6.568420144795933,3.417656120193627,-0.2857118417208145,0.4629175365271112,-3.0000000000000058,-0.12053144969453577,0.0,-3.2011051148481915,0.0
 0.4018819037650737,6.5728146875542945,3.4176317987682716,-0.3170980176065903,0.4335031548435554,-3.0,-0.14659034669299545,0.0,-3.6458771928549614,0.0
 0.4116621418105461,6.5769108943821335,3.417606579144392,-0.3527555644372705,0.4041624407071382,-3.0,-0.1807004554845313,0.0,-4.190150778899513,0.0
 0.4214175730081568,6.58071083092927,3.417580472487337,-0.3936322920684395,0.3748961471143062,-2.9999999999999942,-0.2262173842776776,0.0,-4.865904884485122,0.0
 0.4311478784452468,6.584216562845532,3.417553489962457,-0.44097903282230805,0.3457052308030361,-3.0,-0.2883218771217583,0.0,-5.719070878018755,0.0
 0.44085264110361067,6.587430155780741,3.4175256427351037,-0.4964812583198405,0.3165909428279446,-3.0,-0.3752900697802573,0.0,-6.817532835909647,0.0
 0.4505312978885042,6.59035367538472,3.4174969419706267,-0.562465818758352,0.287554972473264,-2.9999999999999942,-0.5008828632177806,0.0,-8.265046477382585,0.0
 0.4601830603124914,6.592989187307295,3.4174673988343756,-0.6422380837812609,0.2585996852013024,-3.0000000000000058,-0.6890976709360435,0.0,-10.226675177122713,0.0
 0.4698067769791616,6.595338757198291,3.4174370244917016,-0.7406567081279594,0.22972853520129166,-3.0000000000000058,-0.9842713457719007,0.0,-12.978105116439906,0.0
 0.4794006810278231,6.597404450707528,3.4174058301079553,-0.8651674033485262,0.20094682305530726,-3.0000000000000058,-1.4743935889641415,0.0,-17.008468143556428,0.0
