# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.990275196018057,2.7066153641313355,179.10895653844878,0,3.0,-0.02771865511889265,0.0,0.0,0.0
 0.08052897172850161,1.980548999362832,2.706766634656816,179.10895653844878,0.24158691518550485,3.0,-0.02771865511889265,0.0,-0.4682847963558351,0.0
 0.11301879350123681,1.97111768067002,2.7069158240122726,179.0937420488763,0.33905638050371045,3.0000000000000004,-0.030266126747165754,0.0,-0.6617054135130099,0.0
 0.13735448271307818,1.961979355555722,2.7070629476404817,179.07763899158323,0.41206344813923457,3.0,-0.03312454494575066,0.0,-0.8528354654653901,0.0
 0.15736959924769192,1.953132139636041,2.707208020984216,179.0605693903571,0.47210879774307585,3.0000000000000027,-0.03634213362792649,0.0,-1.0542581297559916,0.0
 0.17456034782907817,1.9445741485270795,2.707351059486252,179.04244590390857,0.5236810434872345,2.999999999999997,-0.0399763080129976,0.0,-1.2732273638468992,0.0
 0.18969945593382168,1.9363034978449396,2.707492078589362,179.0231703772054,0.569098367801465,3.0,-0.044095782639025714,0.0,-1.5157906381922357,0.0
 0.2032489934129231,1.928318303205724,2.707631093736322,179.00263211514272,0.6097469802387693,2.999999999999996,-0.0487832390573108,0.0,-1.7880174708372734,0.0
 0.21551190508802218,1.920616680225535,2.7077681203699053,178.98070581482432,0.6465357152640665,3.0,-0.054138742200439585,0.0,-2.096607504295184,0.0
 0.22669985522769398,1.9131967445204745,2.707903173932888,178.9572490746038,0.6800995656830819,3.0000000000000027,-0.060284141878256654,0.0,-2.4493402817886856,0.0
 0.2369678033496859,1.9060566117066453,2.708036269868043,178.9320993756573,0.7109034100490577,2.9999999999999973,-0.06736879220940889,0.0,-2.824621821792734,0.0
 0.2465368631248947,1.8991943974001497,2.7081674236181454,178.9050704006022,0.7236090056430708,1.3277788928574166,-0.07557705241411107,0.0,-3.1374968203490754,0.0
 0.2558190676975079,1.8926082172170902,2.7082966506259702,178.87594751326978,0.6957623919252313,-3.0,-0.08513820635939585,0.0,-3.398438244256289,0.0
 0.2650778340806235,1.8862961867735688,2.7084239663342906,178.8444821674988,0.6679860927758844,-3.0,-0.09633973698277447,0.0,-3.6920848413621665,0.0
 0.27431305809598916,1.8802564216856883,2.708549386185882,178.81038493690505,0.6402804207297874,-3.000000000000006,-0.10954525138889698,0.0,-4.024091052988682,0.0
 0.28352462524449584,1.874487037569551,2.708672925623519,178.77331675195876,0.6126457192842674,-3.0,-0.12521900675636027,0.0,-4.401384835090814,0.0
 0.29271240847733276,1.8689861500412592,2.708794600089976,178.73287778216965,0.5850823695857567,-2.999999999999994,-0.14395987487739156,0.0,-4.832527622882152,0.0
 0.301876265347024,1.8637518747169153,2.708914425028027,178.68859319071473,0.5575907989766831,-2.999999999999988,-0.16654903440799187,0.0,-5.32819879706131,0.0
 0.31101603432630376,1.8587823272126214,2.7090324158804466,178.6398946846339,0.5301714920388437,-3.000000000000006,-0.19401796528873283,0.0,-5.901856401577334,0.0
 0.3201315299954084,1.85407562314448,2.7091485880900095,178.58609633816565,0.5028250050315298,-3.0,-0.22774698311887145,0.0,-6.5706513994613704,0.0
 0.3292225366681955,1.8496298781285938,2.70926295709949,178.5263625024486,0.47555198501316837,-3.000000000000012,-0.2696106461316541,0.0,-7.356713076700554,0.0
 0.3382887998298593,1.845443207781065,2.709375538351663,178.45966460569036,0.4483531955281768,-3.0000000000000124,-0.3221966483222432,0.0,-8.288988380243817,0.0
 0.3473300144525766,1.8415137277179958,2.7094863472893027,178.3847220827394,0.42122955166002496,-3.0,-0.38914272359800905,0.0,-9.405925869457892,0.0
 0.3563458087692684,1.8378395535554888,2.7095953993551833,178.2999201897423,0.39418216870994954,-3.0,-0.4756681661625313,0.0,-10.759478714298401,0.0
 0.3653357212942124,1.8344188009096463,2.70970270999208,178.20319341728677,0.36721243113511765,-3.0,-0.589436002102654,0.0,-12.421223574311673,0.0
 0.374299167553235,1.8312495853965707,2.7098082946427664,178.0918564473071,0.3403220923580497,-3.000000000000006,-0.7419962200739358,0.0,-14.491978381797203,0.0
 0.38323539069127316,1.8283300226323642,2.7099121687500176,177.96235289477573,0.31351342294393525,-3.0,-0.9512900260056225,0.0,-17.11740987998484,0.0
 0.3921433860039405,1.8256582282331293,2.7100143477566077,177.80987108779985,0.2867894370059333,-2.999999999999994,-1.24617903850208,0.0,-20.51431323030923,0.0
 0.40102178171923397,1.8232323178149685,2.710114847105311,177.62773689711364,0.2601542498600529,-2.999999999999994,-1.6750427126894907,0.0,-25.016813753669638,0.0
 0.40986864316449484,1.821050406993984,2.710213682238903,177.40641661203304,0.23361366552427035,-2.999999999999997,-2.323059442545397,0.0,-31.161869121309014,0.0
 0.4186811357905165,1.8191106113862783,2.710310868600157,177.13180287018847,0.20717618764620532,-2.999999999999997,-3.349418718059084,0.0,-39.857630953359795,0.0
 0.4274549118355875,1.8174110466079538,2.7104064216318484,176.78210094251662,0.18085485951099245,-3.0,-5.074527428986865,0.0,-52.74141685552015,0.0
 0.43618291387665414,1.8159498282751125,2.710500356776751,176.32177374855286,0.15467085338779252,-2.999999999999994,-8.207403939832036,0.0,-73.01906083221458,0.0
 0.4448528268979852,1.8147250720038572,2.7105926894776395,175.6887048422383,0.12866111432379929,-3.0,-14.527412942931868,0.0,-107.70573427034905,0.0
